Reg,Bidding History,Bidding Status
MJ09 AOO,['£200'],Reserve not met
MJ09 AOO,"['£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
MJ09 AOO,"['£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
MJ09 AOO,"['£325', '£300', '£275', '£250', '£225', '£200']",On Sale
MJ09 AOO,"['£325', '£300', '£275', '£250', '£225', '£200']",On Sale
FN62 UKK,['£400'],Reserve not met
FN62 UKK,"['£450', '£425', '£400']",Reserve not met
FN62 UKK,"['£500', '£475', '£450', '£425', '£400']",Reserve not met
FN62 UKK,"['£500', '£475', '£450', '£425', '£400']",Reserve not met
FN62 UKK,"['£500', '£475', '£450', '£425', '£400']",Reserve not met
ML56 ZHV,['£400'],Reserve not met
ML56 ZHV,"['£475', '£450', '£425', '£400']",Reserve not met
ML56 ZHV,"['£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
ML56 ZHV,"['£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
ML56 ZHV,"['£650', '£625', '£600', '£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
LD60 ORH,['£300'],Reserve not met
LD60 ORH,"['£400', '£375', '£350', '£325', '£300']",Reserve not met
LD60 ORH,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
SL63 PXD,['£400'],Reserve not met
SL63 PXD,"['£500', '£475', '£450', '£425', '£400']",Reserve not met
SL63 PXD,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
SL63 PXD,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
SL63 PXD,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
LR04 FBY,['£400'],Reserve not met
LR04 FBY,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",Provisional
LR04 FBY,"['£575', '£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
GF57 JUW,['£600'],Reserve not met
GF57 JUW,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
GF57 JUW,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
GF57 JUW,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
GF57 JUW,"['£725', '£700', '£675', '£650', '£625', '£600']",On Sale
GF57 JUW,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
TF07 EEX,['£100'],Reserve not met
TF07 EEX,"['£225', '£200', '£175', '£150', '£125', '£100']",Reserve not met
TF07 EEX,"['£225', '£200', '£175', '£150', '£125', '£100']",On Sale
KX08 CHH,"['£500', '£400']",On Sale
KX08 CHH,"['£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
KX08 CHH,"['£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
KX08 CHH,"['£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
